    halos_ID     halos_RA    halos_DEC      halos_z      halos_X      halos_Y      halos_Z  halos_M200b   halos_Mvir   halos_Rvir 
   129149923      1.49414    -0.832033     0.829069      1248.04      407.829      1537.08    2.014e+13   1.9815e+13     0.655029
   116753840      0.26458     -1.16015     0.864553     -59.4338      635.654      1988.63   2.3713e+13   2.2739e+13     0.687676
   103992547      5.18334    -0.135721     0.663594     -1660.16      182.899      255.906    1.007e+13   9.7452e+12     0.509147
   128133723      1.78073    -0.905894     0.471866      776.587      6.85107      995.972   1.1532e+13   1.0557e+13     0.510178
     6640496      1.28792     -0.51836     0.186013      376.606      245.805      289.111    1.882e+13   1.6476e+13     0.557629
   104705451      5.49214   -0.0616207     0.560209     -1327.24      601.163      157.227   1.1532e+13   1.0557e+13     0.516575
   104312165      5.31379    -0.634216     0.832859     -1575.87      289.031      1244.56   1.1207e+13   1.1045e+13     0.539232
   115761780      5.69411     -1.33935     0.695911     -316.486       67.061      1727.01   1.0557e+13   1.0395e+13     0.521973
   130359241      0.98199   -0.0720233     0.569952      880.756      1177.69      221.558   4.7102e+13   4.6289e+13     0.846552
   130302865     0.919078    0.0793109     0.569143       801.49      1250.62      3.40796   1.9003e+13   1.6242e+13     0.597027
   122838737      0.77347     -1.11457     0.543242      266.296      441.821      1330.92   1.9003e+13   1.8029e+13     0.616074
   124525185     0.813861     -0.71477     0.719623      619.702      1093.67      1296.26   2.4688e+13   2.2739e+13     0.679179
   124581004     0.517206    -0.739006     0.721518      232.665      1189.97      1343.21   2.1602e+13   2.1602e+13     0.667788
   128007936      1.52963     -0.71425     0.420486      801.136      250.057      772.089   1.1369e+13   9.4203e+12     0.487111
   106513146      5.76449    -0.480206     0.790347     -1310.27      1023.47      1012.64   1.5917e+13   1.5755e+13     0.604879
   116646803       6.1134     -1.12597     0.746323     -387.303      524.632      1741.52   3.2484e+13   3.0048e+13      0.74719
   125252028     0.586079    -0.380626     0.738918      409.317      1587.34      846.068   1.1369e+13   1.1369e+13     0.540058
   128865462      1.47168    -0.521414     0.472409      992.038      407.927      669.161   2.3551e+13   2.2089e+13     0.652579
   128338130      1.75816    -0.927934     0.863871      1243.26      31.3523      1676.37   5.6035e+13   5.5385e+13     0.925203
   123444481     0.983905    -0.425999     0.411891      608.707      769.413       539.27   1.2831e+13   1.2669e+13     0.536882
   105876025      5.65794    -0.652156     0.887519     -1393.06      820.356       1388.8   3.8493e+13   3.7844e+13     0.816331
