    halos_ID     halos_RA    halos_DEC      halos_z      halos_X      halos_Y      halos_Z      halos_M   halos_Rvir 
     2676084      230.677      10.3483     0.311132     -540.733      660.097      155.814   1.0278e+14      1138.67
    13011050      334.898      12.9452     0.321788      789.641      369.927      200.439    5.626e+12      415.082
    18123310      288.254      63.5155     0.191034       76.605       232.26      490.859   3.1479e+12      336.848
    17080870      255.149      71.6979     0.283189     -63.9866       241.31      754.775   4.3535e+12      396.149
     3488285      212.944      11.5869     0.192222     -453.527      293.893      110.804   8.0372e+12      468.883
    16592776      249.421      20.0566      0.32921     -301.678      803.501      313.344    2.813e+12      344.816
     6642322      335.651      30.3197     0.207291      466.181      210.964      299.246   5.5925e+12      404.812
    16172658      217.878      44.5699     0.267126     -423.341      329.302      528.346     2.88e+12      341.259
     3584438      226.217      56.6991     0.330676     -348.519      363.648      766.771   4.9562e+12       403.42
   122606663      300.223      62.7788     0.325072      207.948      356.962      803.105   2.5987e+12      341.045
    17287177      240.155      68.6236      0.31938     -161.182      280.924      827.446   8.9078e+12      498.396
     8712803        310.5      2.16402     0.174758      326.847      382.692      19.0172   7.6018e+12      449.407
   121733681      342.491      50.0709     0.307951      525.932      165.912      658.883   2.7611e+12      328.674
     6268228      276.823      7.19853     0.274854      91.1304      761.648      96.8848   3.0139e+12      345.063
    18007791       351.16      73.2468     0.275478      220.687      34.3204      741.927   3.3488e+12      346.164
    18479511      282.632      12.4051     0.256356      154.725       690.38      155.621   2.8632e+13      748.053
   116996409      266.258      4.28697     0.316087     -57.2878      875.801      65.7917   3.2484e+12      350.889
    10955901      317.059      29.6079     0.318677      564.405       525.23      438.122    6.999e+12      447.491
     3674528      218.642      26.2227      0.25589      -506.72      405.116      319.547   1.0415e+13      508.746
    12426234      359.994      20.1631     0.310546      812.834      0.08008       298.47   3.1479e+12      347.787
   122489104      316.074      28.1865     0.290716      517.133        498.1      384.772   1.9815e+13      623.225
    19068135      294.051      13.2487      0.29035      322.777      723.239      186.472    2.813e+12      324.851
    19046664      292.816      5.71612      0.26793      291.308      692.446      75.1959   9.5106e+12      502.878
    14899606      189.874      48.6403      0.31289     -567.622       98.801      654.448   2.8465e+12      332.375
   109290803      191.601      22.9748     0.318079     -798.373        163.9      345.534   2.5662e+13      678.388
     9146891      301.481      22.7725      0.25731      350.027      571.625      281.381   1.2156e+13      534.016
   116170750      225.641      29.5703     0.302696     -514.235      525.872      417.326   6.1719e+12      431.036
   127816280      352.328      20.9965     0.305656      789.514       106.35      305.747   4.2229e+12      373.841
    15987957      200.138      39.4378     0.182239     -380.142      139.397      333.032   1.2759e+13      558.172
    17363125      252.357      19.3644     0.225226     -183.374      576.548      212.634   1.7447e+13      599.996
   121772919      315.354      68.4759     0.315069      229.059      226.248      816.327   1.5755e+13       576.37
     4679986      240.091       50.271     0.134878     -125.042      217.377      301.749   4.0856e+12      366.383
     7828525      298.535      62.0338     0.263036      166.238      305.727      655.425   3.1814e+12       357.29
     7351230      224.014       24.329     0.289642     -531.979      513.984      334.446   4.0186e+12      369.958
     5845627      308.863      52.4246     0.185878      204.427      253.682      423.434   1.3087e+14      1177.08
     5697410      337.229      61.5283      0.13848      176.924      74.2659      353.813   5.8604e+12       412.06
     6377554       279.77      2.75761     0.300657      142.449      827.239      40.4316   2.6121e+12      333.816
   110069928      217.395      4.16446      0.32975     -725.059      554.257      66.4509   2.9235e+12      371.201
    16984652      229.378      22.0263     0.108639     -191.894      223.712      119.239   9.5441e+12       480.61
     6318409      281.076      40.0925     0.338339      137.691      703.362      603.368   3.4493e+12      355.054
    18347387      290.217      4.06925     0.234346        229.5      623.188      47.2452   1.0649e+13      503.686
    14879151      189.279      42.9022     0.321049     -645.467      105.461      607.804   4.7553e+12      386.833
    15836028      182.795      54.5321     0.209099     -346.391      16.9132      486.778   3.6167e+12      371.692
     2242072      212.507     0.801181     0.263667     -627.159      399.654      10.3997    5.626e+12      409.799
     8956605      310.816       32.753     0.226313       354.13      410.032       348.53   2.4245e+13      678.162
    10881021      326.047      12.5809     0.308656      697.072      469.357      187.549   4.3869e+12      388.399
   121704423      326.257       56.346      0.31676      406.378      271.464      734.062   2.2576e+13      660.013
    10409811      341.131      36.8828     0.307378      649.208      221.882        514.8   7.7023e+12      469.673
    18518163      284.547      35.7275     0.339781      191.771      739.045      549.202    1.939e+13      636.755
     5644232      303.599       69.838    0.0407968      23.1232      34.8046      113.803   3.5163e+12      333.033
    18026549      297.475      81.3859     0.312678      60.2152      115.794      861.554   5.7265e+12      430.881
    16497699      247.289      25.6421     0.285619      -278.91      666.399      346.774   5.1572e+12      399.561
    12385226      356.087      9.52658     0.299592      824.156      56.3744      138.633   4.9228e+12      399.196
    17385133      268.635      38.7718     0.263569     -13.8114      579.492      465.587   3.8846e+12       378.51
   116227633      222.121      40.1307       0.3359     -527.799      477.258      599.859   1.2019e+13      561.293
     2411862      219.681        7.288     0.298716     -637.712      529.081      105.972   2.0763e+13        660.4
    10556804      334.247      5.22734     0.215311      551.182      265.893      55.9875   4.0186e+12      376.587
     3508829      215.948      19.1654     0.240397     -521.486      378.166      223.888   5.1237e+12      394.556
    10353558      342.928        19.87     0.229302      586.388      180.082      221.691   4.9228e+12      389.499
    14973171      198.978      9.39459     0.235699     -624.526      214.776      109.269   5.3246e+12      404.069
    10652483      335.993      26.0941     0.285954      658.114      293.113      352.846   2.5786e+12       326.92
    17557277      254.758      39.4735     0.336852     -189.363      694.942      593.193   7.0995e+12      449.806
   117126926      259.722      38.9373     0.326635     -125.896      694.264      570.095   2.8748e+13      732.654
     2039892      181.085      20.7325     0.261159     -689.268      13.0505      260.947   3.5163e+12      358.105
     7884056      286.247       16.574     0.184184      142.021      487.334      151.073    2.947e+12      324.384
    16399148       230.23      8.85131     0.296441       -524.3      629.953      127.631   9.3666e+13      1057.12
    10130303      350.111      9.60828     0.269195      736.563      128.411      126.571   2.6791e+12      324.492
     2131791       199.95      14.1153      0.25471     -656.413       238.26      175.604    6.932e+12      441.781
    16305207      240.103      46.8822     0.278404     -266.578      463.652      571.169   4.9998e+13       874.84
     7866815      294.601      6.80781     0.197439      233.933      510.935      67.0852   3.1479e+12       327.79
     5170155      269.706      27.6955      0.24429     -3.14087      613.027      321.789   3.6167e+12      366.074
    10330939      342.578      13.7246     0.252462      661.882      207.699      169.423   3.6837e+12      359.292
   123330120      288.822       11.158     0.307039      271.225      795.715      165.817   5.5223e+12      434.757
    14974127      203.101      7.53165     0.217186     -564.996      240.997      81.2124   3.6167e+12      350.352
     3696909      232.409      31.7231     0.236395     -348.313      452.435      352.963    2.947e+12      337.678
    12971638      337.416      4.28785     0.328994      840.747      349.699      68.2722   5.4586e+12       439.87
     4789227      268.291      58.1153     0.188147     -8.51587      285.369      458.941   1.9423e+13      620.902
     8563214      333.406      1.52308     0.157822      408.187      204.347      12.1373   3.6167e+12      346.557
   109234272      197.151      17.9768     0.304136     -771.987      238.245      262.145   1.0882e+13      523.587
     6299442      272.098      27.0888     0.259935       23.917      652.944      334.192   1.2581e+14      1197.03
     2867205      231.773      23.9868     0.336732     -527.352      669.489      379.206   5.9274e+12      430.214
    17651895      254.776      17.3486     0.312876     -218.541       803.02      259.984   3.5163e+12      355.253
     2468192      215.459      24.1611     0.284875     -594.087       423.12      327.193   5.0634e+13      882.174
     7996536      282.924      19.9896     0.223975      134.078      584.299      218.071   4.8223e+12      392.934
    16495485      244.918      22.2628     0.332055     -361.294      771.902      348.896    1.594e+13      580.451
     8847067      309.342      61.2581     0.335195      283.172      345.445      814.453   3.3153e+12      346.327
    12723824      351.338      17.8404     0.339622      884.707      134.785      288.022   3.6167e+12      348.801
    18348478      278.659      1.90186     0.229291      98.1431      644.428      21.6455   4.1525e+12      387.079
    18180347      293.045      34.1263     0.124613      117.745      276.784       203.85   3.0474e+12      327.196
     8960131      300.691      31.4795     0.242395       299.18      504.048      358.906    4.119e+12      384.229
     2153054      197.082        20.55     0.296464     -742.478      228.164      291.185   1.9423e+12      331.204
     4510209      234.882       71.242     0.137407     -73.8986      105.076      378.257   3.7172e+12      357.222
    10898979      319.758      14.5362     0.294431      609.028      515.443       206.88   6.5972e+12      433.976
   109311683      193.035      24.8698     0.332023     -813.919      188.426      387.266    3.086e+12      352.044
    16418649      237.074      11.5065     0.257386       -387.3      598.082       145.05   9.3432e+12      495.645
     8107074      281.617      17.9682     0.280757      151.065      734.802      243.284   1.4835e+13      575.637
     5509724       267.36      4.73061     0.334356     -42.5361      922.631      76.4314   5.2911e+12       410.03
   128644069      330.965      5.45787     0.314989      763.584      423.868      83.4451   4.3853e+12      387.509
    14972184      193.599      7.98951     0.252649     -687.815      166.383      99.3221   3.4828e+12      355.434
